e0,v0,v1,f1,f12,e9,e23,e10,e20
e1,v1,v2,f3,f13,e11,e20,e12,e21
e2,v2,v3,f5,f14,e13,e21,e14,e22
e3,v3,v0,f7,f15,e15,e22,e8,e23
e4,v4,v5,f0,f8,e19,e8,e16,e9
e5,v5,v6,f2,f9,e16,e10,e17,e11
e6,v6,v7,f4,f10,e17,e12,e18,e13
e7,v7,v4,f6,f11,e18,e14,e19,e15
e8,v0,v4,f7,f0,e3,e9,e7,e4
e9,v0,v5,f0,f1,e8,e0,e4,e10
e10,v1,v5,f1,f2,e0,e11,e9,e5
e11,v1,v6,f2,f3,e10,e1,e5,e12
e12,v2,v6,f3,f4,e1,e13,e11,e6
e13,v2,v7,f4,f5,e12,e2,e6,e14
e14,v3,v7,f5,f6,e2,e15,e13,e7
e15,v3,v4,f6,f7,e14,e3,e7,e15
e16,v5,v8,f8,f9,e4,e5,e19,e17
e17,v6,v8,f9,f10,e5,e6,e16,e18
e18,v7,v8,f10,f11,e6,e7,e17,e19
e19,v4,v8,f11,f8,e7,e4,e18,e16
e20,v1,v9,f12,f13,e0,e1,e23,e21
e21,v2,v9,f13,f14,e1,e2,e20,e22
e22,v3,v9,f14,f15,e2,e3,e21,e23
e23,v0,v9,f15,f12,e3,e0,e22,e20
